_id,utm_medium,app__os
4f0fb00cb1,invite,iOS
35b31ef3ae,invite,android
00c604a153,invite,iOS
a5cefbc9b1,invite,iOS
a0c8ea6b5b,email,android
9434970bdc,cpi,android
e771098770,invite,iOS
e13b9bda07,invite,iOS
96625ad23c,invite,iOS
aa33b01a2b,invite,android
3d1d88dca3,invite,iOS
a98f10e7a7,cross-promotion,android
7ef74561bf,organic,iOS
ccfbc29238,invite,android
579d78b7a5,invite,android
58b7044068,invite,android
c6bc742615,invite,iOS
c493c6d347,invite,iOS
36c4a84f35,invite,iOS
acb0275f75,invite,android
2a5c9e295a,invite,iOS
edd38669ab,invite,iOS
f69cba29cd,offline,iOS
ce1aee0650,invite,android
b1246be5fb,invite,iOS
8a1c33d30f,invite,iOS
33f91c9801,organic,iOS
d88151a763,invite,iOS
6ae026a179,invite,android
3971c9784e,invite,iOS
14767df2e3,cross-promotion,iOS
ec3a2dc242,invite,iOS
21af9ef26c,invite,iOS
60068c2b9a,invite,iOS
df12bf8912,invite,Win32NT
9e43f3c3f7,invite,iOS
28537f944b,invite,iOS
a84f3912e4,cross-promotion,iOS
1afaaf3fc9,invite,iOS
a4b9607c1f,invite,iOS
1279059115,invite,iOS
0186d6f201,invite,iOS
997c376e0c,invite,iOS
fc7116c2ce,invite,android
e5d553e9d0,invite,android
6208d5ec05,invite,android
4132321a71,invite,iOS
e3386abb28,invite,iOS
ee99218ec2,invite,iOS
635e5300eb,invite,android
e5c9732467,invite,iOS
5c210b1b61,invite,iOS
053d50510b,invite,android
bd2b25e4a7,invite,android
ee6b9f2f55,organic,iOS
cd7ab1c7af,invite,iOS
9276654e82,invite,iOS
48e4ca43e6,invite,android
aa582e5198,invite,android
2e05d50383,invite,iOS
d9c855fddb,invite,iOS
d6adb2887e,email,iOS
fd8c12e6f0,invite,iOS
5c48e11a5a,invite,iOS
55f1a19443,invite,iOS
65d8b07baf,invite,android
357dd19843,invite,iOS
9dac6924f1,email,iOS
52b20fd1a5,invite,android
855d2c92ac,invite,android
d0760b40de,invite,iOS
3511a9e247,invite,iOS
5fe9797d5f,email,android
f452925806,others,android
4b9e668db7,invite,iOS
c8e892d200,organic,android
82cc37ee89,organic,iOS
ae6f3223a6,organic,iOS
0bc3214e22,invite,android
21be5d061b,invite,android
6ebab50766,organic,iOS
c3d247439e,invite,android
5a2dd4e9a9,invite,android
d0b43498e3,invite,android
fb283d9700,invite,android
2c049ff777,cross-promotion,iOS
eaea0ae6e6,blogger,android
ee583ce721,invite,iOS
28d30fc391,invite,android
f09d69edda,invite,android
4bb7d8e1be,organic,iOS
8672e48ad9,invite,android
0b9f9f11bc,invite,android
86328e21bf,invite,iOS
d586dd9acd,cross-promotion,android
604929a7a9,organic,iOS
5a3a68e9bd,invite,android
0ef68aa791,invite,iOS
ee6bf92f28,invite,iOS
52354a52a3,invite,iOS
f9fccd3eb7,invite,android
8ac78f709c,invite,iOS
f7b12746c2,invite,iOS
f63754a319,organic,android
b3c52de9c0,invite,Win32NT
9b827d5c78,invite,iOS
